text,sentiment,username,created_at,likes,reply_count,url
Mulai ramai menyikapi putusan MK terkait sekolah sd-smp swasta gratis. Apakah saat digratiskan pemerintah akan menanggung gaji guru&amp;pegawainya setara dg mereka yg ngajar di sekolah negeri? Lantas bgmn dg mereka yg berada di struktur yayasannya apakh ditanggung pemerintah jg?,negative,,Thu May 29 19:38:38 +0000 2025,0,0,https://x.com/undefined/status/1928174160825503776
Tok! MK Putuskan SD-SMP Swasta Gratis Solo - Mahkamah Konstitusi (MK) mengabulkan gugatan uji materi Undang-Undang Nomor 2003 tentang Sistem Pendidikan Nasional. Dengan begitu MK memerintahkan pemerintah menggratiskan pendidikan wajib belajar sembilan tahun di sekolah swasta. https://t.co/wTcLUbmmmv,neutral,,Thu May 29 18:48:37 +0000 2025,0,1,https://x.com/undefined/status/1928161573878591511
@satriohendri Korupsi lebih dari 9T? Setan aja mundur bilang: itu keterlaluan Bro. Dan di tengah kegilaan itu MK akhirnya waras: SD SMP swasta harus gratis. Sudah benar! Jangan biarkan rakyat bayar dosa korupsi mereka yg korup.,positive,,Thu May 29 16:11:49 +0000 2025,4,3,https://x.com/undefined/status/1928122116211085728
Tanggapi Putusan MK tentang Pendidikan Dasar Gratis Anggota DPR Dorong Klasifikasi Sekolah Swasta https://t.co/J6ZGEU8A1G,neutral,,Thu May 29 14:50:00 +0000 2025,10,2,https://x.com/undefined/status/1928101524221350047
@glrhn Mkn'y gw blg MK jgn cm ketok palu doank tp ksh kriteria swasta gmn yg digratisin atw gk gratis sepenuhnya tp subsidi. Misal budget pemerintah 200rb/anak tiap bln brrti swasta yg gratis yg SPP nya dibawah itu. Trs swasta yg SPP nya misal 300rb brrti yg 100rb msh d tanggung ortu,negative,,Thu May 29 13:32:03 +0000 2025,0,0,https://x.com/undefined/status/1928081908316987706
Ini ga dipaksa ya guys. Sekolah swasta ga dipaksa untuk menggratiskan layanannya. Swasta gratis hanya untuk swasta tertentu aja bukan untuk sekolah swasta elite / bergengsi layaknya kalo liat swasta mahal. Bisa dibaca putusan mknya.. setauku ada di website mk,positive,,Thu May 29 13:31:50 +0000 2025,25,3,https://x.com/undefined/status/1928081851366674603
@robby_karman @kompascom Selama tidak ada aturan bahwa sekolah dilarang memungut biaya dari siswa selain biaya SPP maka aturan MK ini cuma omong kosong Misal SPP 2 juta per semester ilang kemudian uang gedung yg awalbya 10 juta jadi 70 juta Benar bahwa biaya sekolah gratis tapi biaya lain2 tidak https://t.co/9NJfr7KKJb,negative,,Thu May 29 12:58:02 +0000 2025,0,0,https://x.com/undefined/status/1928073348468330865
Keputusan MK terkeren saat ini: pemerintah juga diwajibkan memberikan pendidikan gratis di tingkat SD &amp; SMP sekolah swasta.. ️,positive,,Thu May 29 12:27:11 +0000 2025,0,0,https://x.com/undefined/status/1928065582244712745
@glrhn Sekolah swasta itu ya orientasi nya cuan walau ada yg di support yayasan amal tapi putusan mk ini akan diakalin dengan quota ada quota untuk yg gratis atau bisa dengan grade mau gratis ya penuhi grade &amp; prasyarat sekolah.Kecuali dijelaskan min sekian persen dari peserta didik.,negative,,Thu May 29 12:23:58 +0000 2025,0,0,https://x.com/undefined/status/1928064774174105673
@kegblgnunfaedh sbetulnya putusan mk trmsuk telat. di mncanegara yg namany pndidikan dasar n mnengah itu gratis tis! dg putusan mk tsb maka skolah2 spt smp al azhar budi mulia ksatuan bngsa pelita harapan labschool dll harus gratis! @HumorJonTampan @ParthaSaderi @Metro_TV @officialMKRI,negative,,Thu May 29 11:54:55 +0000 2025,1,0,https://x.com/undefined/status/1928057462483009856
@detikcom Swasta disuruh gratis? MK ini progamnya ga main2 ngeconya juga,negative,,Thu May 29 11:35:58 +0000 2025,0,0,https://x.com/undefined/status/1928052696361185715
MK Setuju: Semua Siswa Dan Siswi Berhak Dapat Pendidikan Secara GRATIS! https://t.co/By7WizILAM https://t.co/sn3jPBAT8q,neutral,,Thu May 29 11:35:07 +0000 2025,0,0,https://x.com/undefined/status/1928052480170164241
DPR soal Putusan MK Pendidikan Dasar Gratis: Klasifikasi Sekolah Swasta-Hitung APBN https://t.co/N9IxNUFR8K,neutral,,Thu May 29 06:03:34 +0000 2025,0,0,https://x.com/undefined/status/1927969042457153879
Legislator PDIP Sebut Putusan MK Soal Sekolah Gratis Perkuat Hak Pendidikan Dasar Warga https://t.co/XPK0ykMC5v,neutral,,Thu May 29 06:03:32 +0000 2025,0,0,https://x.com/undefined/status/1927969034722541722
Mendikdasmen Tanggapi Putusan MK soal SD SMP Sekolah Swasta Gratis Tunggu Instruksi Prabowo #TribunKaltim #SekolahSwastaGratis #Mendikdasmen https://t.co/gSSJp3aEDZ lewat @tribunnews,neutral,,Thu May 29 05:53:03 +0000 2025,0,0,https://x.com/undefined/status/1927966394781429856
MK Putuskan SD-SMP Swasta Gratis Begini Respons Istana https://t.co/aC8gD6c8pz,neutral,,Thu May 29 05:45:00 +0000 2025,0,0,https://x.com/undefined/status/1927964370145005939
Putusan MK Beri Keadilan ke Rakyat Peroleh Akses Pendidikan Gratis https://t.co/lNppCntRnN,neutral,,Thu May 29 05:40:10 +0000 2025,0,0,https://x.com/undefined/status/1927963154417340865
Mendikdasmen Buka Suara atas Putusan MK yang Perintah SD-SMP Gratis di Sekolah Negeri-Swasta https://t.co/oyId3JQBQv,neutral,,Thu May 29 05:30:00 +0000 2025,5,0,https://x.com/undefined/status/1927960596491948505
Putusan MK Wajibkan Pendidikan Dasar Gratis Pemerintah Masih Kaji Implementasi https://t.co/WYdYdzqpFp,neutral,,Thu May 29 05:28:52 +0000 2025,20,0,https://x.com/undefined/status/1927960309836435689
@detikcom Gue heran sama netizen x. Dulu pada koar2 ada calon pemimpin yg mau menggratiskan pendidikan malah pilih pemimpin yg program mbg. Nah sekarang ada wacana mk perintahkan pemerintah gratiskan sekolah masih di koar2 duit ada ga swasta masa gratis ga gampang menggratiskan sekolah,negative,,Thu May 29 05:16:06 +0000 2025,0,0,https://x.com/undefined/status/1927957097968480475
KPAI Desak Pemerintah Laksanakan Putusan MK Soal Pendidikan Dasar Gratis Baca Selengkapnya: https://t.co/qWNXRCOprQ https://t.co/AeBTesYGIL,neutral,,Thu May 29 04:58:09 +0000 2025,0,0,https://x.com/undefined/status/1927952580937736419
Mestinya hakim MK itu mikir tidak hanya norma di konstitusi tapi realitas juga YM @arsul_sani asal2an saja minta sekolah swasta harus gratis. Lha swastanya gelem ora mereka ikut format negara? BOS saja tdk semua swasta mau terima karena kewajiban mengurungi ke SPP.,negative,,Thu May 29 04:49:02 +0000 2025,15,3,https://x.com/undefined/status/1927950286007754761
JPPI selaku pemohon dalam putusan MK soal SD-SMP gratis menilai keputusan ini mestinya tak hanya dialamatkan ke Kemendikdasmen tetapi juga ke Presiden. https://t.co/OehVGJ4Fsr,neutral,,Thu May 29 04:45:00 +0000 2025,5,1,https://x.com/undefined/status/1927949270683951455
Mengapa Putusan MK Penting untuk Pendidikan Gratis? Ini Alasannya MK https://t.co/CWLIWqdS83,neutral,,Thu May 29 04:11:36 +0000 2025,0,0,https://x.com/undefined/status/1927940866515112140
@detikcom Kalau negeri silahkan gratis pak MK. swasta ya jangan gaji guru dan staff lain itu dari pembayaran murid. Gaji negeri dibayar pemerintah sedangkan gaji untuk swasta dibayari oleh pemerintah juga kah? Kalau bikin kebijakan itu dipikir mateng² lah,negative,,Thu May 29 04:06:12 +0000 2025,0,0,https://x.com/undefined/status/1927939507392831771
Gratis sekolah cuma buat negeri? Padahal bangkunya aja udah penuh bro. Untung ada JPPI dan emak-emak kece yang bawa kasus ini ke MK. Respect buat pejuang pendidikan sejati. #MK #Gratissekolah #JPPI #Sekolah #diskursusnetwork https://t.co/pCvXNy8g2t,positive,,Thu May 29 04:00:00 +0000 2025,0,0,https://x.com/undefined/status/1927937947527160227
Kalau putusan MK dikdas gratis keluar sblm SPMB diketok permennya bisa-bisa bakalan wajib bagi pemda nyiapin anggaran utk menanggung biaya sekolah anak di jenjang dikdas tanpa kecuali. Semua anak hrs ditanggung.,positive,,Thu May 29 03:11:52 +0000 2025,0,0,https://x.com/undefined/status/1927925834628858028
@KomnasHAM Ksh tahu MK &amp; DPR Skrg lg MUSIM PHK Bkn musim nangka. Skolah gratis hrs sampe kejuruan,neutral,,Thu May 29 03:04:13 +0000 2025,0,0,https://x.com/undefined/status/1927923907446575585
MK Putuskan SD-SMP Negeri &amp; Swasta Gratis Kemendikdasmen Masih Kaji Implementasi https://t.co/LCUyJRzetk #PendidikanGratis #PutusanMK #SekolahSwastaGratis #PendidikanUntukSemua #Bitvonline,neutral,,Thu May 29 02:48:59 +0000 2025,0,0,https://x.com/undefined/status/1927920074079289825
yaelah gratis tai ledig ujung ujungnya juga lu mintain duit spp makan tai aja lu mk,negative,,Thu May 29 02:41:57 +0000 2025,0,0,https://x.com/undefined/status/1927918304506630405
@luckyonrepeat @foxlut @tanyarlfes Seriusan? Daerah mana? Semoga dengan adanya keputusan MK tersebut SPP gratis,positive,,Thu May 29 02:40:25 +0000 2025,0,0,https://x.com/undefined/status/1927917920526467579
@glrhn keputusan MK @officialMKRI udah bagus banget mau swasta or negeri tp kasih syarat adalah selama sekolah swasta mengambil BOS dan 100% dana BOS bisa utk bayar gaji guru gw pikir cukup fair lah gak gambil BOS boleh gak gratis skrg itu ambil BOS tp SPP tinggi,positive,,Thu May 29 02:36:48 +0000 2025,13,1,https://x.com/undefined/status/1927917007904682337
DPRD Kota Malang Tanggapi Soal Putusan MK Sekolah Gratis Jangan Jadi Dampak Negatif ke Swasta https://t.co/d4Qb5xvMZ5 https://t.co/hl5b0XbYUt,neutral,,Thu May 29 02:32:39 +0000 2025,0,0,https://x.com/undefined/status/1927915963867091096
2 Dampak dari Putusan MK soal SD dan SMP Gratis KPPOD Tawarkan Solusi ke Pemerintah Pusat https://t.co/50iCofa3HF #EducationReform #Education #pendidikangratis #Pendidikan #Indonesia #Governo #EducationNagari #schoolteens #school #sekolah #Samarinda #Balikpapan #Bontang #city,neutral,,Thu May 29 02:30:15 +0000 2025,0,0,https://x.com/undefined/status/1927915360612929667
Mahkamah Konstitusi (MK) resmi menyatakan bahwa pendidikan dasar gratis wajib diberikan negara tak hanya untuk sekolah negeri tetapi juga sekolah atau madrasah swasta. Putusan ini tertuang dalam Putusan Nomor 4/PUU-XXII/2024 yang dibacakan pada Selasa 27 Mei 2025 usai MK,neutral,,Thu May 29 02:27:22 +0000 2025,1,1,https://x.com/undefined/status/1927914634239168820
Putusan MK soal SD-SMP Gratis Bakal Dimasukkan ke Revisi UU Sisdiknas https://t.co/HCUaXK6I7a,neutral,,Thu May 29 02:25:59 +0000 2025,0,0,https://x.com/undefined/status/1927914288666067155
Oalah lah pande pandean MK Swasta bayar aja org2 pada rame nyekolahin anaknya di swasta alhasil SD negeri sepiiii. Lah ini malah dibuat pulak swasta gratis?? UDAHLAH WASSALAM SE NEGRI BLAS GA ADA MURIDNYA,negative,,Thu May 29 01:40:11 +0000 2025,0,0,https://x.com/undefined/status/1927902761573626135
Apakah setelah keputusan MK sekolah/madrasah Swasta jadi auto Gratis? Banyak yang tanya ini mau kita bahas?,neutral,,Thu May 29 01:20:06 +0000 2025,219,27,https://x.com/undefined/status/1927897706023846146
Memang Duit Negara Cukup? DPR Pertanyakan Anggaran Sekolah Swasta Gratis Pasca-Putusan MK https://t.co/EqhjhJ7AI5,neutral,,Thu May 29 00:41:31 +0000 2025,0,0,https://x.com/undefined/status/1927887998420426938
MK Putuskan Pendidikan Gratis Jenjang SD SMP Negeri dan Swasta Pendidikan Dasar Hak Semua Warga Negara https://t.co/LA0ud2zcbf lewat @MUDANEWS.COM - Portal Berita Indonesia Terkini Hari Ini,neutral,,Thu May 29 00:33:33 +0000 2025,0,0,https://x.com/undefined/status/1927885992402292860
Tumben ada keputusan MK tentang pendidikan gratis? Berpuluh2 tahun ga pernah gratis karena alokasi anggarannya disulap dan di mainkan para politikus negara Jika demikian artinya negara mampu mengalokasikannya untuk kepentihgam sekolah gratis....,positive,,Wed May 28 23:34:01 +0000 2025,3,0,https://x.com/undefined/status/1927871009836912971
@glrhn Putusan MK ini adalah tamparan sekaligus harapan. Tamparan bagi negara yang terlalu lama abai. Harapan bagi jutaan anak bangsa yang terhalang biaya. Pendidikan adalah hak bukan kemewahan yang hanya bisa dibeli. Gratis di sekolah negeri saja tak cukup karena kenyataannya,positive,,Wed May 28 22:01:38 +0000 2025,7,3,https://x.com/undefined/status/1927847760046506335
@ryujinwha36220 @kegblgnunfaedh @ryujinwha36220 @kegblgnunfaedh Pemerintah Indonesia wajib biayai pendidikan dasar 9 tahun gratis di sekolah negeri dan swasta berdasarkan putusan MK 27 Mei 2025 sesuai Pasal 31(2) UUD 1945. Swasta tetap independen tapi dapat subsidi seperti BOS atau beasiswa untuk operasional.,neutral,,Wed May 28 21:07:45 +0000 2025,0,1,https://x.com/undefined/status/1927834199714844824
Putusan MK Soal Biaya Sekolah Gratis Jadi Harapan Rakyat Akses Pendidikan Bermutu https://t.co/hITOerR0sH,neutral,,Wed May 28 20:30:01 +0000 2025,1,1,https://x.com/undefined/status/1927824706083635603
MK Putuskan Sekolah Swasta Wajib Gratis! Pemerintah Harus Biayai https://t.co/hMcczynofw,neutral,,Wed May 28 20:02:40 +0000 2025,0,0,https://x.com/undefined/status/1927817822517805091
GRATIS! Putusan MK WAJIBKAN SD &amp; SMP Negeri Bebas Biaya | Kabar Baik ... https://t.co/3fSGXPjwjk via @YouTube,neutral,,Wed May 28 18:42:59 +0000 2025,0,0,https://x.com/undefined/status/1927797770104013145
hari ini ada gambar gembira banget mk melalui putusan nya nomor 3/PUU-XXIII/2025 mengabulkan sebagian permohonan betkaitan dengan pendidikan gratis untuk sd dan smp sederajat negeri maupun swasta ini langkah tang bagus sekali buat kemajuan pendidikan kita tinggal eksekusi nya,positive,,Wed May 28 17:34:00 +0000 2025,0,1,https://x.com/undefined/status/1927780409535758492
@kegblgnunfaedh Putusan MK soal wajibnya pendidikan dasar 9 tahun gratis termasuk di sekolah swasta adalah langkah monumental. Sudah terlalu lama pendidikan menjadi beban finansial yang tak seharusnya ditanggung rakyat. Negara wajib hadir. Bukan hanya di sekolah negeri tapi juga menjamin,positive,,Wed May 28 17:01:25 +0000 2025,12,4,https://x.com/undefined/status/1927772206764822893
Video: Tanggapan Wamendikdasmen Setelah MK Beri Putusan soal Sekolah Gratis https://t.co/Ay3fa0A9iA,neutral,,Wed May 28 15:49:07 +0000 2025,0,0,https://x.com/undefined/status/1927754014374142099
Istana Bakal Minta Petunjuk Prabowo soal Putusan MK Gratis Sekolah SD-SMP #beritanasional #Istana #sekolahgratis #prabowo https://t.co/XsKSp0QDfE,neutral,,Wed May 28 12:00:03 +0000 2025,1,0,https://x.com/undefined/status/1927696366253301880
MK Wajibkan Pendidikan 9 Tahun Gratis di Semua Sekolah Termasuk Swasta ... https://t.co/dqgJBGncsm via @YouTube,neutral,,Wed May 28 11:38:33 +0000 2025,0,0,https://x.com/undefined/status/1927690958512050314
@PartaiSocmed MK gampang aja ketok palu. Implementasinya susah banget. Setahuku dimana2 di dunia sekolah negeri emang bisa gratis kalau swasta gak diatur ikut hukum pasar saja.,negative,,Wed May 28 11:29:07 +0000 2025,0,0,https://x.com/undefined/status/1927688583495733355
Komisi X DPR Jamin Putusan MK Tentang Pendidikan Dasar Gratis Masuk dalam Revisi UU Sisdiknas #beritanasional #DPR #Sisdiknas #MahkamahKonsitusi https://t.co/C9Hk9QYcSo,neutral,,Wed May 28 11:10:00 +0000 2025,0,0,https://x.com/undefined/status/1927683771450458596
Perhimpunan Pendidikan dan Guru (P2G) menanggapi putusan Mahkamah Konstitusi (MK) terkait kewajiban pemerintah menyediakan pendidikan dasar gratis termasuk di sekolah swasta. Kepala Bidang Advokasi Guru P2G Iman Zanatul Haeri menjelaskan bahwa putusan MK mengubah frasa dalam https://t.co/Zp83fz87xP,neutral,,Wed May 28 11:06:25 +0000 2025,0,0,https://x.com/undefined/status/1927682870208036937
MK Putuskan SD-SMP Swasta Gratis Komisi X Tegaskan Pemerintah Pusat dan Daerah Wajib Laksanakan https://t.co/Hs8PAxj6lu,neutral,,Wed May 28 11:04:16 +0000 2025,0,0,https://x.com/undefined/status/1927682330828652826
Hasil putusan MK pendidikan gratis SD-SMP negeri dan swasta mending ini yg difokuskan Presiden ketimbang sekolah rakyat karena sekolah rakyat itu hanya dijadikan kepala daerah buat 'setor muka' ke presiden padahal sapras pendidikan didaerahnya masih banyak amburadul,negative,,Wed May 28 11:02:59 +0000 2025,0,0,https://x.com/undefined/status/1927682005854286292
Tahun 99 PRD ori kampanyenya pendidikan gratis kemaren pilkada jadi gimmick sebab udah tau arahnya bakal dilegalisir mk,negative,,Wed May 28 10:52:29 +0000 2025,0,0,https://x.com/undefined/status/1927679363048513630
MK Wajibkan Pendidikan 9 Tahun Gratis DPRD Kota Malang Soroti Dampaknya ke Sekolah Swasta https://t.co/qI6UV2fPDv,neutral,,Wed May 28 10:52:06 +0000 2025,0,0,https://x.com/undefined/status/1927679268773077366
Mendikdasmen Kaji-Analisis Putusan MK soal Pendidikan Dasar Negeri-Swasta Gratis https://t.co/DIgUIOafe4,neutral,,Wed May 28 10:25:49 +0000 2025,0,0,https://x.com/undefined/status/1927672652799611068
MK Putuskan Sekolah Dasar dan Menengah Wajib Gratis Termasuk yang Dikelola Swasta https://t.co/bEy1ujZXHc,neutral,,Wed May 28 10:25:49 +0000 2025,0,0,https://x.com/undefined/status/1927672651243221200
@abdullahtax @tvOneNews Salah. Jaman Soeharto wajib. Belajar cuma 9 tahun ( sampai SMP) di era Jokowi wajib belajar jadi 12 tahun. Tapi sampai saat ini wajib belajar ( gratis SPP ) HANYA berlaku di sekolah negri. Nah sekarang MK memperluas agar swasta juga menerapkan SPP gratis,positive,,Wed May 28 10:20:58 +0000 2025,0,1,https://x.com/undefined/status/1927671430294208824
PCO: Pemerintah Kaji Putusan MK soal Sekolah Swasta Gratis https://t.co/YZKuENq66M,neutral,,Wed May 28 10:20:53 +0000 2025,0,0,https://x.com/undefined/status/1927671412115886377
UPDATE TERBARU MK! Pendidikan SD-SMP (negeri &amp; swasta) wajib GRATIS! Tapi katanya bakal 'bertahap sesuai kemampuan negara' https://t.co/cEh2nqe32x,neutral,,Wed May 28 10:00:02 +0000 2025,0,0,https://x.com/undefined/status/1927666163972231310
MK Putuskan Sekolah Swasta Juga Wajib Gratis Asal Terpenuhi Syarat Ini | https://t.co/lmARWhw86n lewat @tangerangnews,neutral,,Wed May 28 09:42:58 +0000 2025,0,0,https://x.com/undefined/status/1927661871177544083
MK Putuskan SD-SMP Swasta Gratis https://t.co/jFZEcWpDXm,neutral,,Wed May 28 09:30:00 +0000 2025,0,0,https://x.com/undefined/status/1927658606750752967
Mu'ti mengatakan pihaknya memaknai putusan MK bahwa pasal yang digugat yakni Pasal 34 Ayat 2 memang negara harus membiaya pendidikan dasar baik negeri ataupun swasta. ~TA #MK #Pendidikan #Gratis https://t.co/FPDqGZwEw1,neutral,,Wed May 28 09:09:34 +0000 2025,5,0,https://x.com/undefined/status/1927653461740675253
Komisi X: Putusan MK Wajibkan SD-SMA Gratis Penuhi Hak Pendidikan Dasar Warga Negara https://t.co/V0wISfGz2y,neutral,,Wed May 28 09:00:36 +0000 2025,0,0,https://x.com/undefined/status/1927651208602288247
Putusan Mahkamah Konstitusi (MK) terkait pendidikan SD-SMP negeri termasuk swasta tanpa dipungut biaya atau gratis akan dimasukkan ke Undang-Undang Nomor 20 Tahun 2003 tentang Sistem Pendidikan Nasional (UU Sisdiknas). https://t.co/5g1hc7klaf,neutral,,Wed May 28 09:00:01 +0000 2025,0,0,https://x.com/undefined/status/1927651059310407754
Istana Respons MK Putuskan SD-SMP Swasta Gratis Tunggu Arahan Presiden https://t.co/urJVPxJS8f,neutral,,Wed May 28 08:54:08 +0000 2025,0,0,https://x.com/undefined/status/1927649578876273053
Video MK Putus SD-SMP Swasta Gratis: Tak Ingin Ada Diskriminasi Pendidikan https://t.co/iD4rSWkUaX,neutral,,Wed May 28 08:53:41 +0000 2025,0,0,https://x.com/undefined/status/1927649465181343825
Mahkamah Konstitusi (MK) mewajibkan negara memberikan pendidikan dasar sembilan tahun dari SD hingga SMP secara gratis termasuk sekolah swasta. Namun sekolah swasta 'elite' dibolehkan memungut biaya dari siswa. https://t.co/9vgxlQwZjG,neutral,,Wed May 28 08:47:08 +0000 2025,3,0,https://x.com/undefined/status/1927647817075720567
MK Putuskan SD-SMP Negeri dan Swasta Gratis Ini Alasannya https://t.co/TQ6vMicoQn,neutral,,Wed May 28 08:45:00 +0000 2025,1,0,https://x.com/undefined/status/1927647280691032345
